"v1","v2"
"ex 1",-0.226654252849331,-5.89942896973509
"ex 2",-1.22105595063738,-7.87700411360969
"ex 3",7.17397677970735,2.27136246412386
"ex 4",1.01135336655540,-2.60220930799228
"ex 5",0.453714473896507,9.84180235726618
"ex 6",-5.95204808897903,-2.98064883505292
"ex 7",-4.71620949703798,0.684689549791103
"ex 8",-2.26182863296067,-6.51229729115039
"ex 9",4.37418072089459,-6.23859788773449
"ex 10",5.17358038967882,2.08474595266034
"ex 11",-2.44546797890613,-3.86836101567821
"ex 12",4.60011045953434,0.00632929098048482
"ex 13",-12.0559856910107,1.54920519238864
"ex 14",-6.889648397892,-1.86536084606892
"ex 15",-9.01359581061032,-5.79972739910235
"ex 16",-3.33546924689654,-5.58374487398917
"ex 17",-12.0678939361417,-2.69781126434345
"ex 18",-0.500381056001155,-7.6381756316258
"ex 19",0.71803710946841,-2.43071723234159
"ex 20",0.0111521442545723,-1.79814893658158
"ex 21",3.88609350073591,-2.52766513421329
"ex 22",-6.04810939570753,0.105839662622157
"ex 23",-3.977925151898,-7.40965558787672
"ex 24",0.446977340862802,1.81243838429104
"ex 25",2.45231412554268,3.23891220320046
"ex 26",8.1524526352811,-4.18318366011058
"ex 27",2.44278598414475,-0.567037288501675
"ex 28",2.68072456337533,-0.24354766996054
"ex 29",-3.45844622968183,-2.51946165897442
"ex 30",-0.901058889885827,0.521635286483632
"ex 31",1.76633991815055,0.882754549697093
"ex 32",9.45078934950114,-7.58900034208135
"ex 33",-3.48507024301925,-6.55353597330125
"ex 34",4.76414819855658,9.27134474498854
"ex 35",-7.22475217411994,-3.06417275101217
"ex 36",0.911843927763971,1.76351461630623
"ex 37",0.944301453673154,-0.562167182349411
"ex 38",-5.1952863033861,0.792004371549741
"ex 39",-3.13243147481471,5.42202001968194
"ex 40",-0.414137806753582,9.71174421337591
"ex 41",5.31964247502753,-2.77913888946357
"ex 42",-4.79859434610153,-2.00469496806880
"ex 43",-7.19876245679106,-3.28964477437422
"ex 44",2.91734321149801,-5.7901503701249
"ex 45",-8.5122945804098,-1.17985702324796
"ex 46",-4.13831009609736,-0.378419690701136
"ex 47",-1.95122938706858,1.82189747903342
"ex 48",0.179589821913108,-7.02392591119022
"ex 49",5.98302515687363,4.08781999011194
"ex 50",-4.19775764443758,-7.46989612980972
"ex 51",-3.30145525861907,-0.0879536078556625
"ex 52",-0.67550199430971,-6.77315314197434
"ex 53",-2.44103383737855,0.528440292730862
"ex 54",2.95082133393012,-14.5662981321408
"ex 55",-11.6047073952547,1.24496200960128
"ex 56",-5.62394621069562,0.353263698425466
"ex 57",-1.0782038340713,-4.84853765383491
"ex 58",-5.09249621398424,-1.29437335718450
"ex 59",4.44834570880127,-8.71792947516866
"ex 60",2.60674952362358,4.19645683432611
"ex 61",-13.7537700158592,-8.98743734746508
"ex 62",0.341501470059486,-7.5550197280202
"ex 63",-3.13166613378769,-2.48494457472724
"ex 64",-2.96060069018815,-9.11856835876146
"ex 65",-5.89423289234798,-9.99138492317789
"ex 66",6.27633732860655,2.32291579927847
"ex 67",1.55271598975384,6.05787721692058
"ex 68",-4.15931199911492,-5.43586809680997
"ex 69",-6.76534827151955,1.95537833465608
"ex 70",-2.20244881154591,-2.51996481447202
"ex 71",-3.70195733245878,-0.377924572701518
"ex 72",-5.38632427047461,4.19272844227507
"ex 73",-3.96652050178720,-1.25192566064075
"ex 74",-8.2557735313839,-1.40160635637115
"ex 75",-12.5741325229954,-2.58016498503073
"ex 76",-10.8845811481832,-0.611937170853312
"ex 77",4.58524833669267,5.50494804648244
"ex 78",-3.30484086431493,-14.5362327905250
"ex 79",-5.23569064397292,0.313162970538991
"ex 80",-1.83945973539791,-7.72705213749892
"ex 81",-0.176865537826217,-9.37832186832837
"ex 82",4.45127222454285,-2.49387141742434
"ex 83",3.66916920439694,4.54830459911614
"ex 84",-4.62106247389685,-2.30617484351422
"ex 85",2.82801706437769,0.397944154913581
"ex 86",-0.301115413206315,-6.79495613308583
"ex 87",5.34885337018954,-5.33879126415787
"ex 88",-3.71866018952303,0.343916063830715
"ex 89",-4.03931057219028,-2.37048075429585
"ex 90",1.76571234936188,-2.29167645070883
"ex 91",-2.17480925963858,-1.36311856958396
"ex 92",0.194949671038533,2.31461898515321
"ex 93",4.55696492242852,6.6528340220938
"ex 94",0.108620262382770,-4.57525398549505
"ex 95",7.3931115609341,2.05072767449728
"ex 96",2.28984208215315,1.07871052646235
"ex 97",-12.3753392180591,-7.58454451777123
"ex 98",-2.77710094189971,-1.68164729396012
"ex 99",-10.2804686616216,-3.67838853938505
"ex 100",1.25249475090140,-3.3641956378315
"ex 101",2.27639720838949,1.47894946510677
"ex 102",0.362625251551252,1.19434233135872
"ex 103",1.84949935819418,1.13327721545239
"ex 104",0.541588992005207,0.659753986804083
"ex 105",-0.00557027479682204,1.23196975947793
"ex 106",1.45929775840125,1.77673466011284
"ex 107",0.193467073927811,1.22159248868874
"ex 108",0.212623209976868,0.087660980571796
"ex 109",0.510568598270729,1.14151816929021
"ex 110",-0.362133135805417,0.98355939840807
"ex 111",0.246056799904599,0.873115947567402
"ex 112",1.21475507273067,0.0156168236105378
"ex 113",1.24480850271781,0.673482777156792
"ex 114",0.54469781982021,-0.629884017859825
"ex 115",0.365692848115495,1.50534143377283
"ex 116",-0.185155655621828,0.667247493378168
"ex 117",1.02260307851895,1.08445801609945
"ex 118",-0.533559294406396,-1.03614367868327
"ex 119",-0.900850887170328,1.21808485017581
"ex 120",0.629217476502983,0.598355225566398
"ex 121",0.44290393832849,1.71525877275538
"ex 122",-1.08884338941106,1.84048156638137
"ex 123",1.83474564503915,0.525550980146177
"ex 124",-0.469949634620539,0.562073371379559
"ex 125",1.30423398095932,0.111699750521063
"ex 126",0.604457892312436,2.08348572251114
"ex 127",1.50102329672127,2.7043804190417
"ex 128",0.562671513795966,1.46442860918854
"ex 129",0.621535950585212,1.56540035824758
"ex 130",0.93433873169206,0.820664208942282
"ex 131",1.36591030413103,0.327561270816749
"ex 132",2.65987393354763,0.292644409743959
"ex 133",-0.00724844700749694,3.57723053073027
"ex 134",1.37731269595823,0.998426638985856
"ex 135",0.362272151070738,1.96253367674729
"ex 136",1.70051603305201,0.686666366041276
"ex 137",1.00956050494463,1.14061395638535
"ex 138",2.24065279205776,-0.378349112985083
"ex 139",0.648399677941284,-0.223529731763951
"ex 140",1.18454631621409,0.315135568454625
"ex 141",1.40346436226093,1.54200074304742
"ex 142",0.799730693162766,0.0192187415208916
"ex 143",1.05767683906570,-0.249596595160547
"ex 144",0.300599876146294,-0.407573913667955
"ex 145",0.055565188011565,1.46891474789399
"ex 146",0.838141333249888,0.619540176234439
"ex 147",0.0170398032296601,0.944464630550297
"ex 148",0.98027201524365,-0.557516403046503
"ex 149",2.43768211589469,0.516831576808308
"ex 150",1.00728063220008,1.43794016676719
"ex 151",0.881138572423925,-0.0286305741577981
"ex 152",1.84162829874013,0.685104833834942
"ex 153",0.181223736592614,-0.513882576552266
"ex 154",-0.357898316296738,1.90599891837614
"ex 155",1.16151456673980,-0.381233115665031
"ex 156",0.98259840485393,1.30820655160364
"ex 157",1.23744975314036,0.514201672919342
"ex 158",2.21110149563859,1.50421258829737
"ex 159",1.75625632494161,-1.28049368329933
"ex 160",1.28357287838466,0.0456247350289412
"ex 161",0.634776257543393,1.32319004296091
"ex 162",0.570091651448329,1.00659149677830
"ex 163",0.968371289436459,1.60038230639303
"ex 164",-0.152815183051474,-1.46788621574345
"ex 165",0.756399792737154,3.29357532000362
"ex 166",3.91506921749777,0.223754575078828
"ex 167",0.464257783891197,0.956522142098451
"ex 168",1.84495567361498,2.74067169305669
"ex 169",1.17196539733159,1.48631458171121
"ex 170",0.260457366079034,1.33161410544685
"ex 171",1.31059736918165,0.131651300149063
"ex 172",-0.361144936510032,1.06257303686782
"ex 173",2.18810264271621,0.848224904379043
"ex 174",1.95937871361928,0.164874217456265
"ex 175",0.484122918630855,-1.19774067450366
"ex 176",0.964295498115806,1.78902486360392
"ex 177",0.520469920690269,0.620005009611265
"ex 178",0.932571568183679,-0.00566156234324389
"ex 179",2.05380998423243,0.487377582578984
"ex 180",1.09764053484032,0.389700168824521
"ex 181",2.13214132566354,0.894397031827498
"ex 182",0.593977882984453,0.808861683002407
"ex 183",-0.492203128516683,0.248318110783095
"ex 184",-0.0303371856570966,1.48839028656476
"ex 185",1.51526665719366,1.10834592273025
"ex 186",-0.0573488960468063,0.475424091599976
"ex 187",2.98648279350739,0.389693230749696
"ex 188",0.423697944200476,0.405687292978783
"ex 189",0.913649763396089,1.79093070565484
"ex 190",0.762125615977232,1.8565190006615
"ex 191",1.98180201031144,0.673719362646287
"ex 192",2.71311206261635,3.49390283325211
"ex 193",0.518572476386682,2.29417387963008
"ex 194",2.6693629906502,1.60969827924359
"ex 195",-1.23303117248455,0.872492386742092
"ex 196",0.164076416365098,1.6776115741216
"ex 197",0.52234794679447,1.31288211780858
"ex 198",0.133487475119458,0.469946023815398
"ex 199",2.01172622399259,0.587415199558481
"ex 200",0.29927015705329,0.558528554881668
